State, Facility Name, Facility ID (ORISPL), Stack/Unit/Pipe ID, Associated Units, Year, CO2 (short tons)
"AL","AMEA Sylacauga Plant","56018","1",,"2016","14041.5",
"AL","AMEA Sylacauga Plant","56018","2",,"2016","13438.8",
"AL","Ascend (Decatur Plant)","880041","CS001"," Z004, Z005, Z006","2016",,
"AL","Ascend (Decatur Plant)","880041","X015",,"2016",,
"AL","Ascend (Decatur Plant)","880041","Z005",,"2016",,
"AL","Ascend (Decatur Plant)","880041","Z006",,"2016",,
"AL","Barry","3","1",,"2016",,
"AL","Barry","3","2",,"2016",,
"AL","Barry","3","4",,"2016","1027569.225",
"AL","Barry","3","5",,"2016",,
"AL","Barry","3","6A",,"2016","669387.275",
"AL","Barry","3","6B",,"2016","613831.075",
"AL","Barry","3","7A",,"2016","672183.05",
"AL","Barry","3","7B",,"2016","689177.225",
"AL","Barry","3","CS0AAN"," 1, 2, 3","2016","22109.15",
"AL","Barry","3","MS5C"," 5","2016","2701433.875",
"AL","Barry","3","MS5D"," 5","2016",,
"AL","Barry","3","MS5E"," 5","2016",,
"AL","Calhoun Energy Center","55409","CT1",,"2016","37012.433",
"AL","Calhoun Energy Center","55409","CT2",,"2016","16978.209",
"AL","Calhoun Energy Center","55409","CT3",,"2016","25853.413",
"AL","Calhoun Energy Center","55409","CT4",,"2016","43368.585",
"AL","Charles R Lowman","56","1",,"2016",,
"AL","Charles R Lowman","56","2",,"2016",,
"AL","Charles R Lowman","56","3",,"2016",,
"AL","Charles R Lowman","56","CS004"," 1, 2","2016","561431.865",
"AL","Charles R Lowman","56","MS001"," 1","2016",,
"AL","Charles R Lowman","56","MS03C"," 3","2016","466570.251",
"AL","Charles R Lowman","56","MS03D"," 3","2016","539826.114",
"AL","Colbert","47","1",,"2016",,
"AL","Colbert","47","2",,"2016",,
"AL","Colbert","47","3",,"2016",,
"AL","Colbert","47","4",,"2016",,
"AL","Colbert","47","5",,"2016",,
